"OBS_DATE,TRUCK_D11,TSI_Freight,TSI_Total,IND_PRO,MANUF,INV_TO_SALES"
"01/01/2007,83.9,110.2,111.3,107.85484003,120.09366077,1.49"
"02/01/2007,84.2,110.8,111.6,108.89495603,122.33552256,1.49"
"03/01/2007,85.4,112.0,112.9,109.08805865,124.29354654,1.47"
"04/01/2007,83.7,110.5,111.8,109.8201403,124.92090234,1.49"
"05/01/2007,83.8,110.6,112.1,109.87917391,126.52941176,1.47"
"06/01/2007,82.8,109.9,111.7,109.90923132,126.449743,1.5"
"07/01/2007,82.9,109.0,110.9,109.73688777,126.30496859,1.5"
"08/01/2007,83.6,109.8,111.7,109.9520469,126.7044546,1.5"
"09/01/2007,82.5,109.6,111.7,110.22072552,127.56025128,1.49"
"10/01/2007,84.7,111.1,113.0,109.89831118,129.41433467,1.48"
"11/01/2007,84.6,110.9,112.7,110.51686666,132.50285551,1.47"
"12/01/2007,84.5,110.9,112.6,110.5814144,132.0245574,1.49"
"01/01/2008,87.6,113.6,114.6,110.44399366,133.78754997,1.49"
"02/01/2008,85.3,111.2,112.8,110.0399486,133.34865791,1.5"
"03/01/2008,85.7,109.9,112.0,109.6887743,132.05768132,1.49"
"04/01/2008,86.6,111.8,113.6,108.93690666,135.78612222,1.49"
"05/01/2008,86.3,111.6,113.4,108.26461546,135.70702456,1.47"
"06/01/2008,86.9,110.1,112.1,107.98263806,137.59765848,1.47"
"07/01/2008,86.3,111.4,113.0,107.49242123,137.27698458,1.48"
"08/01/2008,84.3,109.3,111.1,105.79461025,133.26127927,1.49"
"09/01/2008,84.4,107.7,109.2,101.15463328,129.43974872,1.51"
"10/01/2008,82.9,107.7,109.2,102.17193593,123.80125642,1.57"
"11/01/2008,81.5,104.4,106.6,100.83470571,114.67304397,1.62"
"12/01/2008,79.4,100.6,103.8,97.985631191,108.9363221,1.62"
"01/01/2009,77.5,98.8,102.0,95.547088946,105.24871502,1.57"
"02/01/2009,79.6,101.3,104.3,94.975998224,105.68960594,1.56"
"03/01/2009,75.6,96.0,99.8,93.490319011,102.57424329,1.57"
"04/01/2009,74.8,95.1,99.8,92.756615558,101.02427184,1.54"
"05/01/2009,76.4,95.2,98.9,91.841162105,101.22301542,1.5"
"06/01/2009,75.3,96.4,100.3,91.550318856,103.2949743,1.45"
"07/01/2009,76.9,98.6,102.1,92.643089383,103.49771559,1.43"
"08/01/2009,77.9,99.4,102.8,93.674555775,104.72672758,1.37"
"09/01/2009,78.4,100.0,103.0,94.477672375,107.01627641,1.41"
"10/01/2009,77.9,98.9,102.2,94.692615267,108.11136493,1.41"
"11/01/2009,79.3,101.5,103.5,95.079577344,110.32381496,1.4"
"12/01/2009,80.1,101.9,104.6,95.405667768,111.60965163,1.39"
"01/01/2010,80.5,103.4,105.6,96.432052512,113.13963449,1.39"
"02/01/2010,81.6,105.5,106.6,96.772522918,112.5268418,1.4"
"03/01/2010,81.8,105.8,107.5,97.454761171,114.72415762,1.37"
"04/01/2010,82.1,106.6,107.6,97.806259834,115.72701314,1.36"
"05/01/2010,81.6,106.6,108.2,99.147706745,115.30496859,1.38"
"06/01/2010,81.6,106.7,108.5,99.366001362,115.38292404,1.4"
"07/01/2010,82.0,107.3,108.8,99.746151868,116.52541405,1.41"
"08/01/2010,81.4,107.1,108.9,100.11235487,116.87778412,1.41"
"09/01/2010,82.1,107.6,109.5,100.39314295,118.46773272,1.41"
"10/01/2010,83.1,108.1,110.1,100.12284253,119.69046259,1.4"
